Docking scores
6.50
5.62
6.31
6.63
6.70
5.01
6.71
5.10
5.85
5.73
6.74
5.41
7.08
5.60
4.90
5.34
4.68
6.71
4.75
5.32
4.97
6.91
6.90
4.82
6.61
6.57
4.93
6.51
6.17
4.79
5.43
5.31
5.41
4.53
6.53
6.59
4.88
6.92
5.19
5.99
5.88
4.88
4.95
6.04
5.27
4.40
6.09
6.71
5.25
5.85
7.03
5.27
6.12
5.04
5.64
5.82
6.42
4.82
5.24
5.26
6.93
5.31
6.23
6.33
6.73
5.99
4.61
7.06
5.59
5.92
6.81
5.27
5.66
4.70
7.13
4.90
6.03
5.99
4.66
5.33
6.95
5.30
5.21
5.50
4.80
6.95
5.03
6.94
5.71
4.65
6.34
6.81
5.51
6.66
4.88
6.46
5.86
6.35
6.22
6.66
