Docking scores
7.28
8.39
8.10
7.63
7.87
7.50
7.85
7.41
7.95
7.66
8.28
8.03
7.77
7.48
7.51
8.20
7.94
8.00
8.32
7.81
8.20
8.22
7.48
7.43
7.50
7.36
7.69
7.37
7.66
8.10
7.98
8.10
7.79
7.38
8.28
7.61
7.81
7.68
7.70
8.29
7.47
8.02
8.27
7.30
7.84
7.82
7.61
7.50
7.90
7.85
7.75
8.25
7.85
7.66
8.26
7.63
7.76
7.34
7.51
7.99
8.12
8.11
8.38
7.48
8.13
7.32
7.70
7.54
7.93
8.19
8.20
7.69
7.56
7.79
7.93
7.41
7.92
8.04
7.74
8.20
8.06
7.66
7.97
7.83
7.40
8.28
7.58
8.27
8.29
8.13
7.51
8.04
7.88
7.68
8.20
7.64
7.66
8.18
7.83
7.59
