Docking scores
6.69
7.02
6.41
5.32
5.89
5.32
6.98
5.63
6.17
7.36
6.39
7.48
5.57
7.11
5.58
6.36
6.17
6.83
6.32
6.84
6.93
6.65
7.34
7.16
5.18
5.87
6.76
5.25
7.12
7.34
6.51
7.23
5.51
5.74
7.47
6.76
5.92
7.38
6.52
6.93
5.72
5.88
6.03
6.76
7.20
5.47
7.32
6.83
7.49
5.73
5.98
6.44
5.31
5.67
6.95
5.27
5.51
5.69
5.56
5.63
5.18
6.26
6.32
7.31
6.68
5.71
7.05
6.81
5.77
5.80
6.37
7.34
5.84
6.35
7.32
5.93
6.18
6.09
7.16
6.51
5.59
5.81
5.98
6.49
6.10
5.63
7.08
6.74
7.38
6.99
7.14
5.28
6.17
5.39
6.80
6.98
6.46
7.23
5.69
5.20
