Docking scores
7.53
7.22
8.32
8.37
8.18
7.75
7.14
8.88
7.53
8.44
7.50
7.20
7.30
7.95
6.86
7.83
8.56
7.17
8.58
7.02
8.92
7.12
7.13
7.58
8.61
7.23
6.85
8.03
8.21
8.22
7.53
7.21
8.10
7.38
7.88
7.58
7.19
7.99
8.33
7.55
8.13
8.39
7.39
7.32
6.97
8.50
6.86
8.05
7.24
6.82
8.68
6.97
8.40
6.88
8.22
7.52
7.95
8.08
7.15
7.89
7.63
8.74
7.63
8.62
7.81
8.53
7.83
8.23
8.03
6.99
7.98
7.56
6.82
7.36
7.93
7.76
7.00
7.08
7.72
8.56
7.95
7.19
7.51
7.98
7.00
6.94
7.15
8.54
8.43
7.94
7.83
7.27
8.10
8.70
7.35
7.20
8.30
8.81
8.49
8.30
