Docking scores
7.59
6.98
7.28
7.35
6.99
7.67
7.36
7.30
7.79
7.39
7.81
6.79
7.41
7.67
6.86
6.79
7.03
7.34
6.87
6.71
7.64
7.46
7.17
7.80
6.77
7.62
7.61
6.71
7.33
7.22
7.69
6.68
7.47
7.05
6.77
7.60
7.43
7.61
6.91
7.62
7.64
6.68
6.62
7.57
7.14
6.76
7.76
7.62
6.72
6.76
7.10
7.05
7.19
6.63
7.47
7.10
7.65
7.75
6.75
6.91
7.34
7.53
7.59
7.19
7.70
6.84
6.78
7.76
6.89
7.33
6.90
7.65
7.00
6.66
7.51
7.76
6.65
6.75
7.44
6.76
6.64
7.17
7.00
7.78
7.66
6.66
7.63
7.29
7.62
7.64
7.49
7.75
6.94
6.68
6.95
7.31
7.42
7.60
7.21
7.72
