Docking scores
7.03
6.56
6.95
6.50
6.96
6.62
6.91
6.53
6.68
6.86
6.58
6.55
6.84
6.88
6.89
6.74
6.72
6.77
6.98
6.71
7.01
6.56
6.73
6.96
6.87
6.64
6.93
6.60
6.93
6.79
6.88
6.59
6.92
7.01
6.98
6.59
6.55
6.91
6.90
6.68
6.69
6.85
6.57
6.93
6.65
6.66
7.01
6.49
6.60
6.91
6.87
6.82
6.71
6.92
6.55
6.54
6.97
6.84
6.57
7.02
6.54
6.90
6.67
6.51
6.99
6.52
6.92
6.94
6.95
6.73
6.58
6.69
6.53
6.85
6.65
7.02
6.76
6.91
6.57
6.99
6.77
6.54
6.77
6.59
6.99
6.82
6.96
6.86
6.80
6.94
6.64
6.86
6.81
6.91
6.85
6.59
6.79
6.52
6.58
6.73
